FECHA,SUBPARTIDA,CANTIDAD,TOTAL_USD
20220324,87,832,20795501
20220324,83,164,607144
20220324,82,171,915252
20220325,82,285,1589007
20220325,87,1283,19792341
20220325,83,231,1402004
20220326,87,370,5444102
20220326,82,41,135621
20220326,83,49,124965
20220327,82,5,4054
20220327,83,11,121622
20220327,87,492,1785138
20220328,82,278,1445914
20220328,83,186,758028
20220328,87,1046,25163968
20220329,87,1111,22802168
20220329,82,392,1191181
20220329,83,235,1168255
20220330,83,206,1958951
20220330,87,793,11059347
20220330,82,349,1465242
20220331,83,157,1775570
20220331,82,206,924120
20220331,87,754,6855942
20220401,87,905,14878394
20220401,82,297,918270
20220401,83,199,781081
20220402,87,140,1823135
20220402,83,18,39957
20220402,82,20,72450
20220403,87,7,90508
20220403,82,4,1325
20220403,83,10,9678
20220404,87,615,23315414
20220404,83,145,803793
20220404,82,209,1211509
20220405,87,887,12193008
20220405,82,244,667858
20220405,83,143,450117
20220406,87,790,11461167
20220406,83,175,1120509
20220406,82,208,449107
20220407,82,196,990083
20220407,87,913,30166860
20220407,83,141,1126539
20220408,83,186,1478105
20220408,82,294,1004057
20220408,87,1526,15609849
20220409,82,68,197518
20220409,83,38,191039
20220409,87,400,10326378
20220410,82,5,9593
20220410,83,8,5337
20220410,87,3,43801
20220411,87,889,29852984
20220411,82,189,885337
20220411,83,137,346593
20220412,87,809,25652137
20220412,83,130,1117752
20220412,82,163,1016353
20220413,82,283,1967655
20220413,87,785,27197921
20220413,83,171,648675
20220414,83,6,905
20220414,82,7,4580
20220415,82,1,189
20220416,83,12,25710
20220416,87,20,345564
20220416,82,13,53598
20220417,82,1,659
20220418,83,160,1667150
20220418,82,193,812614
20220418,87,800,31323344
20220419,87,1081,19344191
20220419,83,141,765574
20220419,82,176,509835
20220420,83,189,1828526
20220420,82,174,1112000
20220420,87,1238,15380250
20220421,87,914,17897979
20220421,82,215,766487
20220421,83,183,2054948
20220422,87,1276,28598367
20220422,83,181,1098816
20220422,82,179,1170301
20220423,82,67,314433
20220423,83,51,247011
20220423,87,244,12389002
20220424,82,4,545
20220424,87,13,114146
20220424,83,6,1159
20220425,82,229,1312323
20220425,87,775,12299286
20220425,83,141,1748572
20220426,83,156,1687444
20220426,82,188,1047256
20220426,87,924,13085936
20220427,83,179,1648386
20220427,82,202,788138
20220427,87,953,11987500
20220428,83,207,1309754
20220428,82,266,1193417
20220428,87,674,7330317
20220429,87,900,15329812
20220429,83,201,954070
20220429,82,337,1322078
20220430,83,45,199047
20220430,87,697,10142953
20220430,82,57,184059
20220601,82,267,1409873
20220601,83,167,470909
20220601,87,804,10471494
20220602,87,821,7458968
20220602,83,154,836736
20220602,82,191,977914
20220603,87,1157,12193857
20220603,83,181,1073733
20220603,82,227,1162041
20220604,82,44,61521
20220604,83,48,717364
20220604,87,204,4554015
20220605,82,4,1642
20220605,83,9,48377
20220605,87,1,156
20220606,83,192,1153948
20220606,82,221,959294
20220606,87,1568,35453261
20220607,83,204,1076258
20220607,82,372,715969
20220607,87,1114,14171249
20220608,82,244,1460309
20220608,87,1038,21902002
20220608,83,190,1800384
20220609,87,874,16747914
20220609,83,169,1128926
20220609,82,297,1295571
20220610,87,933,29697990
20220610,83,202,1651065
20220610,82,258,1287216
20220611,83,57,167589
20220611,82,49,346025
20220611,87,380,3545124
20220612,82,1,35
20220612,83,5,13616
20220612,87,10,289012
20220613,82,188,1261970
20220613,83,166,2298270
20220613,87,1168,17678326
20220614,87,1059,10222076
20220614,83,190,1615599
20220614,82,226,1532487
20220615,87,1006,16475829
20220615,83,173,882023
20220615,82,323,962912
20220616,82,206,516932
20220616,83,188,906915
20220616,87,943,13724770
20220617,83,171,749166
20220617,82,245,1394554
20220617,87,962,7836096
20220618,83,40,329805
20220618,82,50,164006
20220618,87,124,6676669
20220619,82,1,73
20220619,83,4,217
20220619,87,15,277791
20220620,82,2,238
20220620,83,2,426
20220621,83,176,897471
20220621,82,232,919504
20220621,87,657,25291729
20220622,87,750,19512337
20220622,82,166,712880
20220622,83,164,3140499
20220623,87,1125,24313965
20220623,83,187,719364
20220623,82,262,1104550
20220624,87,836,26848547
20220624,83,198,2151690
20220624,82,280,1412052
20220625,83,57,376770
20220625,87,494,16187249
20220625,82,91,227961
20220626,82,11,11150
20220626,87,57,808681
20220626,83,8,13271
20220627,82,4,608
20220627,87,7,6770
20220627,83,2,9529
20220628,83,184,983234
20220628,87,725,15186012
20220628,82,323,1194401
20220629,87,910,7869089
20220629,83,212,915491
20220629,82,235,817498
20220630,87,1045,10727781
20220630,82,245,1119662
20220630,83,248,1685594
20220701,82,250,1080339
20220701,87,1154,20711073
20220701,83,165,1119066
20220702,82,43,104773
20220702,83,49,189248
20220702,87,280,3105309
20220703,83,11,13566
20220703,87,12,744979
20220703,82,3,314
20220704,87,1,718
20220704,83,2,6397
20220704,82,5,2561
20220705,82,279,928062
20220705,83,169,2163439
20220705,87,643,17705821
20220706,83,192,958684
20220706,87,1088,25676903
20220706,82,285,1023173
20220707,83,237,1686339
20220707,87,953,24407675
20220707,82,252,779745
20220708,87,1066,49889311
20220708,83,228,1335088
20220708,82,215,1364072
20220709,83,58,521785
20220709,82,44,624708
20220709,87,296,10993613
20220710,82,16,9744
20220710,87,48,1886434
20220710,83,2,8924
20220711,87,790,11784526
20220711,82,194,597117
20220711,83,170,872438
20220712,87,1098,13254275
20220712,83,179,1276774
20220712,82,249,768881
20220713,83,175,1374846
20220713,82,258,1112455
20220713,87,780,6986648
20220714,87,1022,25877564
20220714,83,195,1358587
20220714,82,245,1168235
20220715,82,239,1136578
20220715,83,222,1613898
20220715,87,1196,28928943
20220716,82,70,174156
20220716,83,59,381359
20220716,87,352,17659092
20220717,83,3,174
20220717,87,61,9398449
20220717,82,9,8418
20220718,82,223,1025897
20220718,83,156,825312
20220718,87,751,22218193
20220719,87,973,18706234
20220719,83,180,1159255
20220719,82,295,1020841
20220720,82,9,15843
20220720,87,10,1235796
20220720,83,5,2269
20220721,83,203,1012969
20220721,82,274,1674320
20220721,87,867,14712656
20220722,87,1386,25679341
20220722,83,207,1480913
20220722,82,236,809017
20220723,82,165,433049
20220723,87,453,5712905
20220723,83,95,753281
20220724,82,3,215
20220724,83,3,7441
20220725,83,196,1008320
20220725,82,300,1777806
20220725,87,844,16936591
20220726,87,1053,12940158
20220726,82,331,1108030
20220726,83,190,965294
20220727,82,400,1306296
20220727,87,1071,6896392
20220727,83,227,994938
20220728,83,235,1428842
20220728,82,314,1686043
20220728,87,1330,8942417
20220729,82,204,827917
20220729,83,180,1304844
20220729,87,813,8699054
20220730,83,53,341685
20220730,82,41,112910
20220730,87,498,2278917
20220731,82,5,413
20220731,83,2,2863
20220731,87,17,22675
20220901,82,172,1275996
20220901,83,209,1512280
20220901,87,1109,28251315
20220902,87,877,38827484
20220902,83,178,763082
20220902,82,270,1540992
20220903,87,491,21839232
20220903,83,64,164060
20220903,82,52,796270
20220904,82,9,438
20220904,83,18,36636
20220904,87,64,9558851
20220905,83,173,1324160
20220905,87,933,31855015
20220905,82,210,731626
20220906,82,212,1082754
20220906,83,166,716725
20220906,87,840,29374038
20220907,87,899,17720245
20220907,82,391,1766911
20220907,83,208,2292835
20220908,83,204,716050
20220908,87,783,8318114
20220908,82,298,908387
20220909,82,300,812035
20220909,83,179,1269367
20220909,87,856,16914842
20220910,82,56,265240
20220910,87,24,464820
20220910,83,22,12404
20220911,87,1,4089
20220912,82,238,1191472
20220912,83,156,1168158
20220912,87,475,15793513
20220913,82,343,1206945
20220913,87,1001,31824543
20220913,83,226,1154370
20220914,87,1555,22530333
20220914,82,257,618550
20220914,83,205,1220477
20220915,83,189,807987
20220915,87,1638,24765120
20220915,82,265,1510744
20220916,82,244,1024663
20220916,83,210,1038911
20220916,87,1655,39085053
20220917,87,527,8009240
20220917,82,36,148312
20220917,83,51,136521
20220918,82,11,22209
20220918,83,11,40847
20220918,87,8,392930
20220919,83,175,600375
20220919,87,927,23419110
20220919,82,161,944701
20220920,82,224,1035110
20220920,83,175,909144
20220920,87,955,23110693
20220921,87,1075,8894371
20220921,82,288,1258101
20220921,83,186,718654
20220922,82,280,1077855
20220922,87,1171,15471895
20220922,83,232,1392042
20220923,83,165,1584735
20220923,87,1185,16627078
20220923,82,204,1030227
20220924,87,563,9491993
20220924,82,48,381225
20220924,83,49,430325
20220925,87,20,139468
20220925,82,12,1440
20220925,83,13,11946
20220926,82,362,1385841
20220926,87,782,26254198
20220926,83,177,973338
20220927,83,126,286856
20220927,87,947,9476414
20220927,82,264,772403
20220928,83,120,2532998
20220928,87,522,10778148
20220928,82,254,844902
20220929,83,198,819761
20220929,87,727,13123088
20220929,82,258,678261
20220930,87,751,25331346
20220930,82,234,1033390
20220930,83,199,620473
20221001,82,52,206560
20221001,83,63,316488
20221001,87,232,8803429
20221002,83,5,1194
20221002,87,19,2628361
20221002,82,7,44348
20221003,87,644,7316866
20221003,82,259,1470830
20221003,83,166,1123343
20221004,83,158,988151
20221004,82,208,1079871
20221004,87,964,8742182
20221005,87,1041,10600563
20221005,83,176,922620
20221005,82,206,1038276
20221006,82,267,655252
20221006,87,1003,21828191
20221006,83,182,678923
20221007,82,235,1296555
20221007,87,1029,13725355
20221007,83,183,1208239
20221008,87,335,15302651
20221008,83,70,466491
20221008,82,30,36572
20221009,87,51,3410929
20221009,83,2,953
20221009,82,1,1
20221010,83,163,737539
20221010,87,1106,8324891
20221010,82,228,1060595
20221011,83,131,474913
20221011,87,811,12494550
20221011,82,207,978320
20221012,82,259,1448959
20221012,83,152,1095804
20221012,87,792,32486152
20221013,83,181,1388045
20221013,87,1088,15002511
20221013,82,270,1001985
20221014,87,921,14727525
20221014,82,264,1042929
20221014,83,201,948920
20221015,87,229,8895815
20221015,82,52,176949
20221015,83,57,217164
20221016,82,1,27
20221016,83,9,13095
20221016,87,14,5430789
20221017,83,7,23264
20221017,87,5,51417
20221018,82,207,1217465
20221018,87,748,41944611
20221018,83,164,733260
